rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,accuracy,f1_score,eo_diff,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio
3,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.794,0.7939925837330144,0.023999999999999994,male:0.5000/female:0.5000,female:0.5000/male:0.5000,5/5,5/5
3,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.794,0.7939925837330144,0.03809523809523807,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3
3,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.796,0.7959967359477751,0.0888888888888889,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1
4,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.834,0.8339833983398339,0.09333333333333338,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
4,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.81,0.8099931597537511,0.13714285714285712,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
4,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.778,0.7779920077122776,0.16000000000000003,female:0.9000/male:0.1000,female:0.5000/male:0.5000,1/9,5/5
4,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.764,0.7639055622248898,0.1561904761904762,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
4,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.744,0.7438975590236094,0.17333333333333334,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
4,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.804,0.8036858974358974,0.040000000000000036,female:0.5000/male:0.5000,female:0.9000/male:0.1000,5/5,1/9
4,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.802,0.8017136745460445,0.019047619047619035,female:0.5000/male:0.5000,female:0.7000/male:0.3000,5/5,3/7
4,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.792,0.7912484945804897,0.02400000000000002,female:0.5000/male:0.5000,male:0.5000/female:0.5000,5/5,5/5
4,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.786,0.7853741510243869,0.017142857142857126,female:0.5000/male:0.5000,male:0.7000/female:0.3000,5/5,7/3
4,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.772,0.7712827426810477,0.16444444444444445,female:0.5000/male:0.5000,male:0.9000/female:0.1000,5/5,9/1
5,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.84,0.8399769566817622,0.25333333333333335,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
5,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.808,0.8079877112135175,0.21333333333333337,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
5,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.754,0.7539202701675343,0.264,female:0.9000/male:0.1000,female:0.5000/male:0.5000,1/9,5/5
5,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.74,0.7398501536885247,0.20380952380952377,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
5,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.706,0.7059423647034818,0.1777777777777778,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
5,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.836,0.8359973759580153,0.053333333333333344,female:0.5000/male:0.5000,female:0.9000/male:0.1000,5/5,1/9
5,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.826,0.825943605728256,0.08952380952380945,female:0.5000/male:0.5000,female:0.7000/male:0.3000,5/5,3/7
5,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.828,0.8279559567249216,0.05600000000000005,female:0.5000/male:0.5000,male:0.5000/female:0.5000,5/5,5/5
5,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.83,0.8298850022615288,0.09904761904761905,female:0.5000/male:0.5000,male:0.7000/female:0.3000,5/5,7/3
5,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.842,0.8419690259290822,0.10666666666666669,female:0.5000/male:0.5000,male:0.9000/female:0.1000,5/5,9/1
6,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.85,0.8499993999976,0.01333333333333342,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
6,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.808,0.8079877112135175,0.1333333333333333,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
6,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.762,0.7619228630076145,0.17599999999999993,female:0.9000/male:0.1000,female:0.5000/male:0.5000,1/9,5/5
6,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.738,0.7378227681912974,0.10857142857142857,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
6,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.716,0.7158863545418167,0.15999999999999992,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
6,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.802,0.8019041215948518,0.06666666666666665,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9
6,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.798,0.7978180362326093,0.05523809523809531,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7
6,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.792,0.7918801229508197,0.064,male:0.5000/female:0.5000,female:0.5000/male:0.5000,5/5,5/5
6,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.804,0.8039717719351588,0.1028571428571429,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3
6,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.83,0.82999931999728,0.0755555555555556,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1
7,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.836,0.8359973759580153,0.1688888888888889,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
7,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.8,0.7999487868894437,0.14857142857142858,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
7,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.766,0.765991575696725,0.15999999999999992,female:0.9000/male:0.1000,male:0.5000/female:0.5000,1/9,5/5
7,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.744,0.7439959039344629,0.08571428571428574,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
7,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.74,0.7399958399334389,0.20444444444444454,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
7,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.838,0.8379837983798379,0.09777777777777774,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9
7,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.816,0.8159882232462878,0.07238095238095243,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7
7,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.814,0.8139397164681357,0.06399999999999995,male:0.5000/female:0.5000,female:0.5000/male:0.5000,5/5,5/5
7,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.828,0.8279889912954429,0.02857142857142858,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3
7,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.832,0.831989247311828,0.08888888888888888,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1
8,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.838,0.837968241775388,0.20444444444444443,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
8,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.802,0.8019358272080154,0.18666666666666665,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
8,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.762,0.7619228630076145,0.19199999999999995,female:0.9000/male:0.1000,male:0.5000/female:0.5000,1/9,5/5
8,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.734,0.7339137880673339,0.16380952380952382,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
8,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.718,0.7179447171645643,0.20888888888888885,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
8,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.822,0.8219651051606113,0.13777777777777778,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9
8,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.824,0.8238985655737705,0.10285714285714287,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7
8,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.822,0.8219821982198221,0.08800000000000002,male:0.5000/female:0.5000,female:0.5000/male:0.5000,5/5,5/5
8,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.838,0.8379474949883763,0.08571428571428572,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3
